t=2025-12-19T11:46:15-0500 lvl=info msg="no configuration paths supplied"
t=2025-12-19T11:46:15-0500 lvl=info msg="using configuration at default config path" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-19T11:46:15-0500 lvl=info msg="open config file" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-19T11:49:19-0500 lvl=info msg="join connections" obj=join id=f624c57bd86d l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:49:19-0500 lvl=info msg="join connections" obj=join id=867b9924b853 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:49:19-0500 lvl=info msg="join connections" obj=join id=87198b2e3165 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:49:19-0500 lvl=info msg="join connections" obj=join id=ff42b0e03d02 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:49:19-0500 lvl=info msg="join connections" obj=join id=4d29041199e9 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:37636
t=2025-12-19T11:49:38-0500 lvl=info msg="join connections" obj=join id=80e3815ce6e4 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:48190
t=2025-12-19T11:51:21-0500 lvl=info msg="join connections" obj=join id=56dc386b457d l=[::1]:5173 r=147.9.2.204:52424
t=2025-12-19T11:51:39-0500 lvl=info msg="join connections" obj=join id=20b2d6fd297b l=[::1]:5173 r=147.9.2.204:9152
t=2025-12-19T11:51:39-0500 lvl=info msg="join connections" obj=join id=a5e8310c79e6 l=[::1]:5173 r=147.9.2.204:9152
t=2025-12-19T11:51:39-0500 lvl=info msg="join connections" obj=join id=84599e20703d l=[::1]:5173 r=147.9.2.204:9152
t=2025-12-19T11:51:39-0500 lvl=info msg="join connections" obj=join id=c586d185ed06 l=[::1]:5173 r=147.9.2.204:9152
t=2025-12-19T11:51:39-0500 lvl=info msg="join connections" obj=join id=897e36737aa9 l=[::1]:5173 r=147.9.2.204:14190
t=2025-12-19T11:52:24-0500 lvl=info msg="join connections" obj=join id=1ac2712dc1df l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:24-0500 lvl=info msg="join connections" obj=join id=c31d49bc5f5e l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:24-0500 lvl=info msg="join connections" obj=join id=f339449ab3b8 l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:24-0500 lvl=info msg="join connections" obj=join id=4cca22a9a6c5 l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:24-0500 lvl=info msg="join connections" obj=join id=d559087c1673 l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:24-0500 lvl=info msg="join connections" obj=join id=94a40cd08daf l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:24-0500 lvl=info msg="join connections" obj=join id=56e82f8321b8 l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:25-0500 lvl=info msg="join connections" obj=join id=f748d3e5e59f l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:52:25-0500 lvl=info msg="join connections" obj=join id=35568c8c10c8 l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48828
t=2025-12-19T11:52:50-0500 lvl=info msg="join connections" obj=join id=b9779346ea19 l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:53:19-0500 lvl=info msg="join connections" obj=join id=ba827617283e l=[::1]:5173 r=[2600:4040:2d39:b100:b652:be7b:3ff9:14b2]:48818
t=2025-12-19T11:53:30-0500 lvl=info msg="join connections" obj=join id=073f45b7aeb0 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:45622
t=2025-12-19T11:53:30-0500 lvl=info msg="join connections" obj=join id=bbabcf516844 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:45622
t=2025-12-19T11:53:30-0500 lvl=info msg="join connections" obj=join id=65b9f551c19f l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:45622
t=2025-12-19T11:53:30-0500 lvl=info msg="join connections" obj=join id=6f8d6b2fb187 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:45622
t=2025-12-19T11:53:31-0500 lvl=info msg="join connections" obj=join id=0a999d6f0ae2 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:45632
t=2025-12-19T11:53:54-0500 lvl=info msg="join connections" obj=join id=9eea895d1844 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:44230
t=2025-12-19T11:54:34-0500 lvl=info msg="join connections" obj=join id=c00d3c96fdbe l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:35710
t=2025-12-19T11:55:10-0500 lvl=info msg="join connections" obj=join id=1b0ef1dbe6ba l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:10-0500 lvl=info msg="join connections" obj=join id=4b37cb6bd3ff l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:10-0500 lvl=info msg="join connections" obj=join id=919c4758b103 l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=bbf935410285 l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=23ed8e357489 l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=753b6343c1fa l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=886c10f7524c l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=aadc7b71f7ea l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=f4bed796b744 l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=35a1dfa607f6 l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:55:11-0500 lvl=info msg="join connections" obj=join id=449923c6381c l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52783
t=2025-12-19T11:55:39-0500 lvl=info msg="join connections" obj=join id=283cd2a8c242 l=[::1]:5173 r=[2607:fb91:86f:4f40:1c7f:bd:152a:1a77]:52758
t=2025-12-19T11:57:19-0500 lvl=info msg="join connections" obj=join id=d01716161a40 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:57:19-0500 lvl=info msg="join connections" obj=join id=bfc986935c0c l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:57:19-0500 lvl=info msg="join connections" obj=join id=d233e28b5d67 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:57:19-0500 lvl=info msg="join connections" obj=join id=ba3717bff5e1 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:57:19-0500 lvl=info msg="join connections" obj=join id=d6bdd875cc67 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39322
t=2025-12-19T11:58:05-0500 lvl=info msg="join connections" obj=join id=c945d994b986 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:58:05-0500 lvl=info msg="join connections" obj=join id=31eb3fa064f7 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:58:05-0500 lvl=info msg="join connections" obj=join id=d2285cf71038 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:58:05-0500 lvl=info msg="join connections" obj=join id=d7f2a0f7375f l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:39308
t=2025-12-19T11:58:05-0500 lvl=info msg="join connections" obj=join id=29606629f6b5 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:41886
t=2025-12-19T11:58:27-0500 lvl=info msg="join connections" obj=join id=709e8b702233 l=[::1]:5173 r=147.9.2.204:46792
t=2025-12-19T11:58:27-0500 lvl=info msg="join connections" obj=join id=8475e5376b03 l=[::1]:5173 r=147.9.2.204:46792
t=2025-12-19T11:58:27-0500 lvl=info msg="join connections" obj=join id=c04243e710f3 l=[::1]:5173 r=147.9.2.204:46792
t=2025-12-19T11:58:27-0500 lvl=info msg="join connections" obj=join id=57a58fb764eb l=[::1]:5173 r=147.9.2.204:46792
t=2025-12-19T11:58:28-0500 lvl=info msg="join connections" obj=join id=09db1f704d07 l=[::1]:5173 r=147.9.2.204:30911
t=2025-12-19T12:02:08-0500 lvl=info msg="join connections" obj=join id=8fc46b0862fe l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:08-0500 lvl=info msg="join connections" obj=join id=b46f1356dfc7 l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:08-0500 lvl=info msg="join connections" obj=join id=55b6b62120b3 l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:09-0500 lvl=info msg="join connections" obj=join id=790c4fcdfc66 l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:09-0500 lvl=info msg="join connections" obj=join id=52eca776e397 l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:09-0500 lvl=info msg="join connections" obj=join id=8ef42031b188 l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:09-0500 lvl=info msg="join connections" obj=join id=affd4cd6a0f6 l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:09-0500 lvl=info msg="join connections" obj=join id=c9440b3bcd73 l=[::1]:5173 r=147.9.2.204:14652
t=2025-12-19T12:02:09-0500 lvl=info msg="join connections" obj=join id=f52d1eadfc00 l=[::1]:5173 r=147.9.2.204:14652
